PROGRAM(1, 1)-"Program"
IDENTIFIER(1, 9)-"example"
SEMICOLON(1, 16)-";"
VAR(2, 1)-"var"
ERROR_6(3, 3)-"рус"
ERROR_6(3, 7)-"текст"
ERROR_6(3, 13)-"т"
ERROR_6(3, 15)-"тест"
IDENTIFIER(3, 20)-"a1"
INTEGER_NUMBER(3, 23)-"1"
IDENTIFIER(3, 24)-"a"
IDENTIFIER(3, 26)-"a_1"
IDENTIFIER(3, 30)-"_a"
IDENTIFIER(3, 33)-"_a_1_a"
ERROR_6(3, 40)-"aф"
ERROR_6(3, 43)-"афa"
ERROR_6(3, 47)-"aф1a"
ERROR_6(3, 52)-"фa1"
IDENTIFIER(4, 3)-"x_ysdas"
COLON(4, 10)-":"
INTEGER(4, 12)-"inTeger"
SEMICOLON(4, 19)-";"
ERROR_7(5, 3)-"qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq"
COLON(5, 267)-":"
FLOAT(5, 269)-"float"
SEMICOLON(5, 274)-";"
ERROR_6(6, 3)-"дfпlag"
COLON(6, 9)-":"
BOOLEAN(6, 11)-"boolean"
SEMICOLON(6, 18)-";"
BEGIN(7, 1)-"begin"
COMMENT(8, 3)-"// This is comment"
IDENTIFIER(9, 3)-"ch"
EQUAL(9, 6)-"="
STRING(9, 8)-"'else'"
IDENTIFIER(10, 3)-"x"
ASSIGN(10, 5)-":="
INTEGER_NUMBER(10, 8)-"42"
SEMICOLON(10, 10)-";"
IDENTIFIER(11, 3)-"x"
NOT_EQUAL(11, 5)-"<>"
INTEGER_NUMBER(11, 8)-"0"
IF(12, 3)-"if"
LEFT_PARENTHESIS(12, 6)-"("
IDENTIFIER(12, 7)-"x"
LESS_OR_EQUAL(12, 9)-"<="
INTEGER_NUMBER(12, 12)-"0"
RIGHT_PARENTHESIS(12, 13)-")"
THEN(13, 3)-"then"
IDENTIFIER(14, 5)-"x"
EQUAL(14, 7)-"="
INTEGER_NUMBER(14, 9)-"42"
MINUS(14, 12)-"-"
INTEGER_NUMBER(14, 14)-"10"
ELSE(15, 3)-"else"
BEGIN(16, 5)-"begin"
IDENTIFIER(17, 7)-"x"
LESS_THAN(17, 9)-"<"
INTEGER_NUMBER(17, 11)-"0"
SEMICOLON(17, 12)-";"
COMMENT(18, 7)-"{ Tyt comment na proverky
             blablabla
      }"
IDENTIFIER(21, 7)-"x"
EQUAL(21, 9)-"="
IDENTIFIER(21, 11)-"ch"
PLUS(21, 14)-"+"
IDENTIFIER(21, 16)-"y"
SEMICOLON(21, 17)-";"
IDENTIFIER(22, 7)-"y"
ASSIGN(22, 9)-":="
ERROR_5(22, 12)-"23.00445e-145"
SEMICOLON(22, 25)-";"
E_FLOAT(23, 7)-"36E+10"
E_FLOAT(24, 7)-".25e-7"
FIXED_FLOAT(25, 7)-".25"
FIXED_FLOAT(25, 10)-".25"
FIXED_FLOAT(26, 7)-"25.25"
FIXED_FLOAT(26, 13)-"25.25"
FIXED_FLOAT(26, 18)-".25"
FIXED_FLOAT(26, 21)-".25"
IDENTIFIER(27, 7)-"y"
ASSIGN(27, 9)-":="
E_FLOAT(27, 12)-"15.01e-10"
SEMICOLON(27, 21)-";"
IDENTIFIER(28, 7)-"x"
ASSIGN(28, 9)-":="
FIXED_FLOAT(28, 12)-".25"
SEMICOLON(28, 15)-";"
IDENTIFIER(29, 7)-"x_ysdas"
LESS_THAN(29, 15)-"<"
ERROR_4(29, 17)-"22243432"
IDENTIFIER(30, 7)-"ch"
EQUAL(30, 10)-"="
ERROR_2(30, 12)-"'123
    end
  flag := true;  
end.
"
EOF(33, 0)-""
